SNID	ra	dec	PetroRad_r	u	g	r	i	z	err_u	err_g	err_r	err_i	err_z	redshift
12898	26.793051012	-0.146864685	2.876802	20.1821	19.10832	18.4894	18.02161	17.81866	0.07063252	0.01238533	0.01090268	0.01027445	0.02990918	0.0835
12930	309.68267041	-0.476394252442	6.406151	19.33475	18.08535	17.33543	16.97013	16.62606	0.05755026	0.00965534	0.008361453	0.009246331	0.02450211	0.147168
12950	351.667270497	-0.840619665013	4.150678	18.99278	18.03596	17.70643	17.40242	17.30359	0.03250468	0.007656487	0.00804905	0.009191794	0.02734613	0.08265698
13044	332.543025828	0.503936834758	5.391763	20.5278	19.21122	18.66871	18.44988	18.26259	0.1841447	0.0295506	0.02677504	0.03504683	0.107527	0.1258902
13070	357.784882457	-0.74656402913	3.282766	20.82862	19.58211	18.93661	18.6518	18.42055	0.1155667	0.0224204	0.02314145	0.027441	0.05416848	0.1985333
13354	27.564739615	-0.886700963241	3.104314	20.04924	19.04398	18.42653	17.9653	17.7821	0.07369214	0.01592621	0.01362802	0.01312622	0.03851281	0.1576255
13411	315.189730158,	0.191724708	1.29303	24.82955	22.53495	22.0648	21.86466	21.6408	1.011283	0.1198665	0.1180283	0.1417637	0.4950489	0.163
13736	336.832664208	1.03070919535	3.091004	22.15837	20.78008	20.12383	19.77771	19.5017	0.33219	0.05075973	0.04100156	0.0434825	0.1182988	0.1502249
13796	350.691969486	0.532310737916	3.786413	20.97786	19.44396	18.73966	18.35888	18.09249	0.1487128	0.02394817	0.0175097	0.01875383	0.0614935	0.1487143
13894	1.69061106369	-0.0367694128763	4.071753	22.44878	21.61566	20.83446	20.39929	19.98907	0.3099657	0.06650063	0.0508619	0.05089806	0.1334747	0.1249
14108	53.5947035925	-1.12302298216	1.427725	23.4573	23.28805	22.26128	22.08857	21.21852	0.622083	0.2810609	0.155158	0.2006017	0.3453501	0.133
14437	332.080943683	-1.19630544959	1.380421	23.71851	21.16519	20.19045	19.60637	19.30037	0.8508152	0.04865295	0.02794798	0.0248161	0.0750685	0.1492953
14782	314.234083065	-0.279167995769	4.638895	21.34411	19.08615	17.8458	17.25345	16.80995	0.2984986	0.01932154	0.01033791	0.009064808	0.02289754	0.1604
14815	319.071666976	0.559514964711	1.752007	22.60095	21.68918	21.23025	21.03263	20.71963	0.3270079	0.06817164	0.06291687	0.07771385	0.2097815	0.1363
14871	54.2769479704	0.00925588421488	1.655447	22.50686	21.10634	20.56067	20.27496	20.18101	0.3007411	0.0387665	0.03525475	0.03838735	0.1468233	0.1276
14979	54.9465459111	0.992111819454	3.870229	21.66706	20.21586	19.47246	19.12412	18.92393	0.2834147	0.03136478	0.02530407	0.02790559	0.08400077	0.1771
15132	329.699951541	0.198780924456	5.69943	20.5601	19.70379	19.50043	19.26174	20.63	0.1666907	0.03374931	0.04403458	0.05085813	0.7420868	0.1543813
15421	33.7413200054	0.602716237483	3.628544	20.39871	19.49338	18.89788	18.59686	18.55008	0.08121447	0.02004728	0.01707548	0.0204254	0.06043803	0.1853683
15425	55.5610761212	0.478357705445	1.829214	21.65033	19.66519	18.67096	18.2415	17.96537	0.1491307	0.01587913	0.01010963	0.01050846	0.02311112	0.1598923
15443	49.8674396937	-0.318010567152	2.778901	20.89535	19.73092	18.97429	18.62114	18.37915	0.1347577	0.02167301	0.01776268	0.01891345	0.0701528	0.1819083
15453	319.668391123	-1.02424078233	1.494762	23.79735	22.40929	21.92089	21.5773	21.86302	0.8198582	0.1358321	0.1662507	0.1659489	0.7008631	0.1837
15459	340.701448831	-0.901774718132	1.78836	21.87786	20.7696	20.35241	20.22732	20.21357	0.2179196	0.03781286	0.03597826	0.04876509	0.1884158	0.1267946
15461	326.848227059	-0.49474951917	3.966842	21.41769	19.88201	19.02201	18.5571	18.3778	0.223857	0.0284331	0.02228073	0.02739852	0.0643513	0.1862115
15508	27.1694726909	-0.575758117441	5.398664	20.59012	19.40743	18.87566	18.55239	18.31341	0.1926282	0.02559448	0.02513641	0.02796434	0.08120877	0.1346457
15648	313.718799031	-0.195816658847	3.777461	21.25633	19.019	17.70221	17.15433	16.75867	0.1734672	0.01332061	0.007726015	0.007242851	0.01753072	0.1750174
15897	11.6815976116	-1.03249057577	1.889643	21.96253	20.1889	18.88095	18.39968	17.99728	0.2382974	0.02489079	0.01277073	0.01209082	0.0281609	0.174905
16073	8.10767400848	-1.05390438816	2.239065	21.16495	20.3121	19.8151	19.45468	19.14653	0.1110927	0.03051502	0.02780641	0.0270719	0.0706811	0.1547316
