SNID	ra	dec	redshift	err_redshift	mu	err_mu	u	g	r	i	z	err_u	err_g	err_r	err_i	err_z	hr
8555	2.91560637427	-0.415042559333	0.1977040022611618	1.5300000086426735e-05	40.0189323425293	0.1021059975028038	23.04647931083688	22.298862029856178	21.627647371236264	21.303515217407973	21.114372380878265	0.12588604287514532	0.019920899061214376	0.012142732323284595	0.0110758999844951	0.03211308928446796	0.18618303355614785
8719	7.72191919728	-0.718633658324	0.11756599694490433	7.000000096013537e-06	38.626712799072266	0.060766398906707764	23.329706603287875	22.750830681087308	22.362032285278836	22.124137461630326	21.832127251535496	0.22401736359557145	0.03477219004135161	0.02804533247798709	0.02578438405611065	0.08212930856596778	0.03813544884521036
8921	325.00198806	-0.00806773134227	0.14538699388504028	1.5100000382517464e-05	39.18257522583008	0.07182479649782181	22.7970064366757	21.70822237943057	21.051942578353216	20.68842491531094	20.505228504781098	0.1204844847061429	0.01531480740407934	0.009896115189957987	0.009233831274111193	0.03079585980776677	0.09130869161683819
10028	17.7419418368	0.276128992799	0.06539160013198853	9.499999578110874e-06	37.02252197265625	0.09020110219717026	21.223124465173644	19.45378309293492	18.64055631989234	18.274015616509995	17.984475312986497	0.04122476719680612	0.003413605253261197	0.001933807319025897	0.001704239862974277	0.003942567913921623	-0.21023879049590022
10805	344.927759004	-0.0135705384838	0.04524829983711243	7.499999810534064e-06	36.27702713012695	0.1032399982213974	21.448012705671392	20.45953599657555	19.95950027865822	19.640118559761266	19.405685300655453	0.05275488729013947	0.008569919496766228	0.0051161249659072375	0.00500151316149949	0.013144032850019157	-0.12289752357470718
11172	322.412574735	-0.202205669021	0.13632899522781372	9.399999726156238e-06	39.18114471435547	0.10324399918317795	21.961039502266328	21.021640996663578	20.511915858463784	20.170261340816854	20.044870256443165	0.07582861741864824	0.013293947178936871	0.006909230393915369	0.006355614317156964	0.019299553146001992	0.24290083807987628
12860	323.694965369	1.17540944639	0.12167900055646896	1.2900000001536682e-05	38.681400299072266	0.06569290161132812	24.413671244145327	23.245719253900887	22.530628858812673	22.19583214227082	21.813060487160485	0.5908732900553391	0.059248987199992074	0.05277969765906375	0.06313313124025419	0.14102182214814848	0.0119266206593025
12898	26.7930510122115	-0.146864685	0.0835810974240303	7.700000423938036e-06	37.82978439331055	0.06165950000286102	22.351549595065286	21.326606178069206	20.719301011277015	20.251207476581197	20.020221383870137	0.06885283642953308	0.009215566552909657	0.006147865261985136	0.005272283757225348	0.014534364289845779	0.034847275300620595
12950	351.667270497	-0.840619665013	0.08273419737815857	1.049999991664663e-05	37.862308502197266	0.05923530086874962	21.934784912982664	20.955503192620526	20.56594373099548	20.25991006114485	20.13414132954347	0.07474541340889299	0.0073247542100548435	0.005191994559859144	0.004376375464945295	0.014694148760562652	0.09083230634126949
13135	4.174375768	-0.425158384	0.10467089712619781	2.9709899536101148e-05	38.23342514038086	0.07007589936256409	24.554502001925968	25.06690683033544	24.08125477009466	23.64741723501194	23.09503452582623	0.5645907616922413	0.21215425371826252	0.09810498354939637	0.07925358096855695	0.19971545910296037	-0.0831299638646712
13354	27.564739615	-0.886700963241	0.1576254963874817	8.415950105700176e-06	39.24150085449219	0.0842294991016388	24.225666635326206	24.408976725256792	23.648277905849525	23.006658045744373	22.78139529490784	0.6122561564960811	0.13666257725918485	0.0701036017378326	0.05378614136878217	0.18149851474257953	-0.04304041363741362
13736	336.832664208	1.03070919535	0.15020699799060822	2.1600000764010474e-05	39.26826095581055	0.06437580287456512	24.269780970157825	24.08601198530516	23.404110297261496	23.090389105930957	23.41447375047266	0.5433259613352461	0.14019475323722344	0.12397608468517464	0.15122018487523095	0.6084704497893225	0.09913895589143351
13896	2.7129648979	-0.0699597439549	0.15731699764728546	3.840000135824084e-05	39.75661849975586	0.08710669726133347	24.49411954900232	23.846058832211625	23.14261578041161	22.908259926022797	22.855971273151656	0.7320181359767478	0.09027829394273353	0.05582705323619452	0.057574940340563464	0.21320439158419385	0.47677579089959465
14279	18.488256396	0.37142073528	0.04538949951529503	1.0812999789777678e-05	36.16823959350586	0.0992857962846756	22.30010500217826	20.891803331936025	20.068498119210002	19.685263641795892	19.36627994342752	0.09302756943402989	0.008335081947610937	0.004723223208144047	0.004155424839727631	0.011112574275769947	-0.23868687267455613
14284	49.0493571032	-0.600981773263	0.18106649816036224	4.752329914481379e-05	39.274147033691406	0.08153899759054184	22.5900495083888	21.026248087896363	20.12806820877247	19.75766516542511	19.461767817708537	0.1195544354730675	0.007224647219329609	0.004064361125961638	0.00337752703485014	0.008753645697144053	-0.3447112262744767
14377	48.2637649688	-0.471764667521	0.139409601688385	1.5087300198501907e-05	39.118289947509766	0.07710570096969604	24.497126089392903	23.04647931083688	22.183698374624715	21.654624413538038	21.220360604016918	0.5618731901919887	0.0341302041586838	0.018295962223831164	0.012741958519304318	0.035442846277358594	0.12697050733081738
14421	31.829932232	1.25201389797	0.17504100501537323	2.7300000510876998e-05	39.834320068359375	0.07674039900302887	23.13346701972158	21.040187831222323	19.83241946227976	19.35054796080534	18.950057193322863	0.16173503780651705	0.008464533513046149	0.005109648317884612	0.005295512288803657	0.010438984117370832	0.2974065997383377
14437	332.080943683	-1.19630544959	0.14926700294017792	3.819999983534217e-05	39.11294937133789	0.062395598739385605	24.46249662203512	22.76029002132537	21.807199762509583	21.397896318454166	21.067816197421024	0.8562680359163493	0.04339904605648525	0.019699011309957624	0.017911396671309265	0.05640551490845805	-0.04117286801614739
14784	323.798987142	-0.348862360463	0.19232000410556793	2.5699999241624027e-05	39.954315185546875	0.09036389738321304	24.22654624882673	23.504159392044105	22.825684922276213	22.467306164372253	22.86765494229057	0.5205022005520197	0.07079904835193636	0.05186509379606678	0.049151179338863475	0.2734897341119879	0.18891160929565842
14816	336.716189703	0.506397121384	0.10722099989652634	1.6833300833241083e-05	38.10921859741211	0.07318729907274246	23.920118644795775	22.333701474714406	21.418902752762122	20.959837474643027	20.767933044832496	0.3497094712687384	0.029529356608615474	0.01584193851875415	0.014281050213251928	0.039656666517925425	-0.26353723803651263
15129	318.902081454	-0.321710234625	0.19739499688148499	5.3499999921768904e-05	39.827449798583984	0.08232860267162323	24.145738892959187	22.552061624046914	21.537872357372994	21.077452972562334	20.660598271653207	0.7502811566673419	0.035574251840384825	0.016924566407049407	0.01464856573432959	0.039500797449424044	-0.0014801059280671325
15136	351.162220847	-0.717945871471	0.14874300360679626	1.1299999641778413e-05	38.922142028808594	0.06516829878091812	23.84296409509091	22.371288404465588	21.78190536785532	21.43897238529204	21.112704583000767	0.508153386913838	0.03253490339600559	0.019276254722713628	0.01601370874140566	0.052162000320689884	-0.2235805673675486
15234	16.9580436145	0.828586337661	0.13635799288749695	1.650000012887176e-05	39.242462158203125	0.0669919028878212	24.373308469914438	22.946375396594654	22.271628262499622	21.94729353295856	21.739678232277168	0.4757965678497817	0.039392331849409	0.02747656452121667	0.026833374502630146	0.07916640935158743	0.30371350538040787
15301	323.579922234	0.588793787042	0.17983299493789673	3.239999932702631e-05	39.614376068115234	0.07140360027551651	24.238194783208083	23.522407488897855	22.649131336398796	22.25408305658442	22.209703921391718	0.5778535945039852	0.07199903222230816	0.04634532741321431	0.04329593649189203	0.14635925441459186	0.012086604881886842
15365	354.556618168	1.24905981928	0.1879580020904541	1.8599999748403206e-05	39.84742736816406	0.0782397985458374	22.895272495988294	21.411965117625193	20.360546303193374	19.827561574064752	19.454868467438594	0.14467876022183238	0.016586264335148454	0.008577524412254244	0.008449150164847097	0.01862347982490607	0.13786725673815425
15421	33.7413200054	0.602716237483	0.18544499576091766	1.52000002344721e-05	39.76759338378906	0.0699881985783577	23.430559025486183	22.672011681684022	22.09842723090292	21.81163199110721	21.70807818178048	0.18058026559345136	0.0313318453667375	0.021380079374517958	0.021714724095162587	0.07199310584803906	0.09074834362210282
15425	55.5610761212	0.478357705445	0.15989230573177338	3.467610076768324e-05	39.08114242553711	0.07699380069971085	23.225116430668923	21.36481481848318	20.383289475757756	19.973708272577486	19.71659167681147	0.1572626500662017	0.010699704321817773	0.006179886198780101	0.00606786443465632	0.013492241594130509	-0.2376647894303474
15443	49.8674396937	-0.318010567152	0.18190829455852509	1.5225999959511682e-05	39.6746711730957	0.08707209676504135	23.064434016446654	22.213831329041355	21.392491945898186	20.96346264063111	20.65895113676624	0.13985328325300408	0.020467253170101937	0.011234728156484318	0.010014917902083349	0.030223955290614123	0.044565152537217045
15459	340.701448831	-0.901774718132	0.126787006855011	1.5899999198154546e-05	39.26349639892578	0.06577789783477783	23.491416742857254	22.54611751241578	22.065668533314224	21.934607258363144	21.765668039595308	0.47490712648754696	0.03422564990286403	0.02286920822649115	0.02472749995129771	0.09125596836519105	0.4970408140831637
15461	326.848227059	-0.49474951917	0.18616899847984314	2.990000029967632e-05	39.635101318359375	0.06735020130872726	24.167465342389434	24.468894614649027	24.10643314245807	23.549581425835655	24.080869961937253	0.7771132231830287	0.18773959366300655	0.14679563150557368	0.09953237039998493	0.6731667066826627	-0.05121058170757209
15648	313.718799031	-0.195816658847	0.17501740157604218	4.1384799260413274e-05	39.34339141845703	0.12542399764060974	24.574725612290536	25.29739960568407	24.24309787669387	23.49589709118789	23.27157849718197	0.6621131434824333	0.3215131912387709	0.14785728675138482	0.09615237926355591	0.3215215453888563	-0.19319597493188212
15866	338.780817599	0.968089281773	0.19003500044345856	2.719999974942766e-05	39.64947509765625	0.09626410156488419	24.911876342776985	23.8679725605193	22.555203224053514	21.97293559317687	21.55214142321929	0.9881357434873378	0.11953639380540959	0.05571830827663424	0.05592461569932128	0.12951897438561835	-0.08682206824894223
16021	13.843850377	-0.389217575695	0.12459699809551239	2.209999911428895e-05	38.65186309814453	0.05857979878783226	24.594509462357905	22.851415440317055	22.12456058564377	21.880889869206023	21.618182363103923	0.6658495966620946	0.03893275618127743	0.023763043421231325	0.025139983439354384	0.07697046762093389	-0.07346752607710272
16069	341.245051863	-1.00638340204	0.12825000286102295	3.7999998312443495e-05	38.777381896972656	0.06532400101423264	24.732835094615886	23.441179288235077	22.722570198130047	22.43387867585374	22.139260270226643	1.4588703526465823	0.07591615533924798	0.04287153100600051	0.04535389380850233	0.1447576777145914	-0.016178815032766636
16073	8.10767400848	-1.05390438816	0.15471599996089935	1.4299999747890979e-05	39.452056884765625	0.06176700070500374	23.754000561139716	22.56913528836254	21.876334679938875	21.526468619690966	21.3732559588028	0.26611925857882823	0.021466155195922397	0.013519090904338315	0.013088360270817582	0.046490694660326154	0.21217076303613425
16116	355.302194458	-1.1059673808	0.15649199485778809	1.8900000213761814e-05	39.438785552978516	0.06838440150022507	24.757904393409937	24.06964250748025	23.71393882489575	23.363618238355983	22.954979816138902	0.9783110051247227	0.11644311365970399	0.0847368171935915	0.09022408242102331	0.26643275376392955	0.1715499574817798
16163	31.4991765346	-0.855823688672	0.15504099428653717	9.999999747378752e-06	39.23527145385742	0.11280699819326401	22.808863884758495	21.6017165303137	20.65621145273683	20.215253888741834	19.945760222409483	0.17708786707182375	0.012290193932487868	0.005767973587777563	0.005264617460277833	0.01593759485265863	-0.009641065465999077
16185	16.8681005404	-0.269343622389	0.10136599838733673	5.959999907645397e-05	38.09153747558594	0.07797639816999435	23.79954905334545	22.230966357141206	21.459534679488787	21.10275124021779	20.751080925067356	0.24743304575162475	0.0214976702107204	0.014244051614129045	0.013350839871436468	0.03256611399640308	-0.15023477526217732
16206	5.78831913098	-0.0535803311223	0.15972900390625	2.7599999157246202e-05	38.980995178222656	0.08508069813251495	24.06495632469342	21.920488253095137	20.890444462916644	20.439182086938462	20.099184362073935	0.4171825412532401	0.019919191353443718	0.008718482094493047	0.007926815295984858	0.019604844445602433	-0.3353585627807263
17168	339.723619133	-1.16723286854	0.18519200384616852	1.3699999726668466e-05	39.75627517700195	0.08815660327672958	23.156758836768976	22.362032285278836	21.861453331671356	21.636790466992014	21.426663587841613	0.45482655839262637	0.03044169422023763	0.019695367678848906	0.02188755612377724	0.07826469014417589	0.08274620013679623
17186	31.6116676002	-0.900068918229	0.07881610095500946	3.270000161137432e-05	38.01530456542969	0.07261619716882706	24.34857688092101	22.5498679002718	22.102566527585434	21.76399685781258	21.61539859254163	0.5317087822576088	0.0331857086806118	0.020798193532704432	0.02192118399987051	0.0834061466891381	0.3554253838951382
17206	45.9858992991	0.728174798529	0.1564657986164093	2.3136899471865036e-05	39.20957565307617	0.13397200405597687	24.829093297156454	23.84296409509091	22.88669972184296	22.408298048078613	22.041683243758342	0.7740660471569724	0.06696746743010057	0.03635060183763553	0.03465232483421922	0.08979183491860297	-0.05725862374281121
17218	356.171811008	-0.030105024895	0.17839300632476807	1.4299999747890979e-05	39.47339630126953	0.08989740163087845	22.462096009963076	21.65985290872402	20.98844008244649	20.640456185060593	20.432036121497905	0.10533951263185258	0.015406089185909943	0.009051517435971265	0.00838708295280125	0.02321490081104405	-0.10941797222211136
17695	41.9898938476	0.589275108167	0.18290600180625916	1.630000042496249e-05	39.346134185791016	0.09297160059213638	24.857827056280332	23.549581425835655	23.080136563224706	22.80450110327091	22.377414247457015	0.7337047993980402	0.06327302661762076	0.051837781204617454	0.057671077299766484	0.14978619031447943	-0.2972409857959448
18375	11.5163981332	-0.0106771298027	0.1105090007185936	1.720000000204891e-05	38.18927764892578	0.05809880048036575	22.496715768634978	21.337825722013516	20.540559789378094	20.156704669738282	19.917404543135437	0.10132941680320928	0.011431500172854716	0.006164148004358569	0.005451135001935501	0.014027556581127237	-0.25411632435260856
18602	338.983657649	0.60908083857	0.13833999633789062	2.2300000637187622e-05	39.09309768676758	0.06560560315847397	24.004014302150935	23.69130907270656	23.106474380944483	22.67939408354358	22.46933910690369	0.6486697321043122	0.09836125023303846	0.06549963719604893	0.06021285579993915	0.17999674912616703	0.12008173241768105
18604	340.920816346	0.421305232523	0.17626099288463593	2.3099999452824704e-05	39.59988784790039	0.07574830204248428	25.515275044981323	24.075624540269978	22.685407298288894	22.13476534802547	21.783140738439183	1.2996151826763975	0.0852814073139041	0.030447434111871226	0.02464960811117217	0.0702862387284009	0.04617546654316129
18612	12.2880200749	0.596611969687	0.11489199846982956	1.9600000086938962e-05	38.36855697631836	0.061298198997974396	22.855141516745388	21.750269409280442	20.906175089398392	20.525900662040655	20.271751101058435	0.11956369283108051	0.016893893452470134	0.010016880975370053	0.009163477669125385	0.023650383972057168	-0.1659942040290332
18650	328.447231853	0.0150344471961	0.11371300369501114	2.680000034160912e-05	38.73060989379883	0.060975901782512665	23.629498981344913	22.735865093286534	22.151555417743886	21.991121311115617	21.75402342797351	0.3545779187791553	0.03682659659602266	0.027419991265020496	0.027957426575467865	0.09517114114026996	0.2202544809350684
18697	11.224210199	-0.996851125168	0.10762300342321396	1.049999991664663e-05	38.35894012451172	0.06142989918589592	23.305578139097424	22.105681389255444	21.389262187825622	20.962736638461124	20.671643496153273	0.2687652374994097	0.023748529895303273	0.012588090057146234	0.011452484833611819	0.03581375252095834	-0.022560493994085107
18749	12.5465860314	0.675718424323	0.19063800573349	3.300000025774352e-05	39.55697250366211	0.08484899997711182	25.359713044361406	24.22215529027486	23.036631295884508	22.616688625267336	22.24885058281981	1.0807385697534893	0.11524900653224326	0.04893900798331903	0.045946518324631064	0.1077669108831168	-0.18703683590617715
18804	25.266027448	-0.448289003	0.1984259933233261	6.049999865354039e-05	39.716739654541016	0.06642220169305801	24.20764570370077	24.05576951323907	23.251678304012145	23.157854433435862	22.603451811456452	0.5056103287258089	0.09747063943454215	0.04979328450329936	0.054336136971085795	0.1384716577410398	-0.12491239465285986
18835	53.6853872511	0.355504129848	0.12318579852581024	3.4725300793070346e-05	38.69990539550781	0.07363829761743546	23.673538852711214	22.415743125512453	21.389262187825622	20.915863048429028	20.581668286316408	0.20516184128871148	0.019263240207762735	0.009526528956996579	0.008104791387631108	0.023942399319983976	0.0014339200311468403
19155	31.264779623	0.175134025	0.07760269939899445	1.4299999747890979e-05	37.800479888916016	0.06797540187835693	23.390444462916644	22.530321328374487	21.934962596675845	21.57805219504902	21.384970734788936	0.18170294458616348	0.024116196697587113	0.015999948915944674	0.014825262268080492	0.0520382441333778	0.1762324470401282
19353	43.1132643414	0.251742827414	0.15405599772930145	1.4399999599845614e-05	39.289947509765625	0.0668535977602005	24.88384349617561	23.28566723236404	22.45576181100968	22.020136685441415	21.69717481959332	0.716032414174812	0.03945273125637293	0.02141903179191011	0.01858571269253162	0.06349401313126689	0.060299195501990255
19772	12.6662879019	-1.04201105564	0.17514899373054504	2.1699999706470408e-05	39.042930603027344	0.081427201628685	23.404110297261496	21.394650467890962	20.258012252228234	19.784791817335112	19.465965139132166	0.27415011072645107	0.012909997658566812	0.005388861847577024	0.004936948227192489	0.013506792429350456	-0.49547418465162707
19775	318.956164723	0.651219256748	0.13809199631214142	2.5600000299164094e-05	38.92056655883789	0.06720130145549774	23.343924780584114	21.81592313005005	20.74334476152799	20.188960103176214	19.766069667674007	0.2298325950515561	0.020893017023213056	0.01015172246065493	0.007800503968632644	0.01665727614315869	-0.04818674557517255
