Gupta2011 Table 2
Properties of SN Ia Sample and Host Galaxies

SN ID	IAU	RA	Dec	redshift	redshift uncert	M -	M	M +	Age -	Age	Age +	c	c uncert	x_1	x_1 uncert	HR	HR uncert
13354	2006hr	27.5647277832	-0.8866921663	0.15760 	 0.00010	10.46	10.51	10.56	3.59	4.73	6.74	0.087 	 0.024	0.952 	 0.225	-0.0979 	 0.0592	
13411	 ... 	315.1897277832	0.1917154342	0.16300 	 0.00050	9.13	9.21	9.29	3.74	5.40	6.90	-0.026 	 0.034	1.191 	 0.397	0.1275 	 0.0895	
13425	2006gp	338.5414733887	0.0548623651	0.21290 	 0.00050	10.22	10.29	10.36	5.72	8.28	10.19	0.298 	 0.054	-0.751 	 0.579	-0.0301 	 0.1606	
13506	2006hg	25.2436542511	-0.7284323573	0.24500 	 0.00050	10.13	10.18	10.22	2.35	3.93	5.25	0.165 	 0.038	0.079 	 0.582	0.0435 	 0.1271	
13511	2006hh	40.6112861633	-0.7942346931	0.23757 	 0.00015	11.26	11.41	11.47	4.98	7.34	8.03	-0.092 	 0.044	-1.991 	 0.438	0.1846 	 0.1132	
13578	2006hc	17.3948116302	0.7042742372	0.22900 	 0.00050	9.11	9.19	9.29	2.36	3.33	4.79	-0.043 	 0.029	0.150 	 0.464	0.1010 	 0.1018	
13641	2006hf	345.2174987793	-0.9820173383	0.21930 	 0.00050	9.15	9.25	9.34	2.79	4.10	6.12	-0.046 	 0.029	0.967 	 0.322	-0.0431 	 0.0777	
13736	2006hv	336.8327026367	1.0307192802	0.15040 	 0.00050	9.51	9.56	9.61	2.93	3.84	5.51	-0.040 	 0.023	0.947 	 0.232	0.0361 	 0.0597	
13757	2006hk	350.1237792969	-1.1580305099	0.28900 	 0.00500	9.13	9.24	9.36	1.98	2.98	4.49	-0.203 	 0.039	0.724 	 0.416	0.1401 	 0.1212	
13796	2006hl	350.6919860840	0.5323168635	0.14820 	 0.00050	10.16	10.22	10.27	4.41	5.99	7.12	-0.054 	 0.021	0.518 	 0.181	-0.0995 	 0.0545	
13835	2006hp	6.0593752861	-0.2492461652	0.24770 	 0.00050	10.39	10.44	10.48	2.24	3.22	3.92	-0.064 	 0.031	0.707 	 0.295	0.0003 	 0.0836	
13894	2006jh	1.6905879974	-0.0367476977	0.12490 	 0.00050	9.34	9.39	9.44	4.09	6.15	7.58	0.186 	 0.022	0.446 	 0.201	0.1657 	 0.0547	
13934	2006jg	342.1104431152	-0.4351437390	0.33000 	 0.00500	10.76	10.83	10.90	2.69	4.58	6.13	-0.079 	 0.078	-0.914 	 0.786	0.2149 	 0.2178	
13956	2006hi	20.9414615631	0.8162868619	0.26200 	 0.00500	10.53	10.61	10.77	6.22	8.62	9.72	0.144 	 0.069	-0.552 	 1.204	0.6144 	 0.2207	
14019	2006ki	316.6423950195	-0.6486185193	0.21640 	 0.00050	9.69	9.74	9.82	2.33	2.96	4.12	0.001 	 0.041	-0.337 	 0.389	0.3925 	 0.1018	
14108	2006hu	53.5947074890	-1.1231447458	0.13300 	 0.00500	8.77	8.86	8.96	3.53	4.83	6.79	-0.001 	 0.020	0.053 	 0.164	0.2947 	 0.1352	
14212	2006iy	330.4706420898	1.0444601774	0.20540 	 0.00050	10.27	10.35	10.42	4.58	6.55	8.01	-0.009 	 0.023	-0.415 	 0.205	0.0090 	 0.0620	
14261	2006jk	328.2404174805	0.2536858320	0.28580 	 0.00050	9.39	9.44	9.52	1.85	1.91	2.52	-0.037 	 0.039	0.523 	 0.543	-0.1989 	 0.1132	
14298	2006jj	314.8951110840	1.2232679129	0.27010 	 0.00050	9.28	9.41	9.54	2.50	3.92	5.77	-0.085 	 0.039	1.049 	 0.442	0.0262 	 0.1084	
14331	2006kl	7.8891010284	-0.1355372667	0.22110 	 0.00050	9.57	9.61	9.66	2.30	2.78	3.45	0.002 	 0.033	-0.140 	 0.313	0.1347 	 0.0875	
14397	2006kk	6.9156045914	0.6493207216	0.38570 	 0.00050	10.55	10.61	10.71	1.98	2.59	4.17	-0.321 	 0.083	-1.077 	 0.745	0.4810 	 0.2402	
14437	2006hy	332.0809326172	-1.1963416338	0.14910 	 0.00050	9.96	10.02	10.09	5.81	8.81	10.41	-0.106 	 0.021	0.278 	 0.192	-0.0850 	 0.0544	
14456	2006jm	343.5509338379	1.0508996248	0.33000 	 0.00500	11.04	11.13	11.19	4.39	5.67	6.97	0.001 	 0.042	0.163 	 0.549	-0.2071 	 0.1369	
14481	2006lj	2.6814725399	0.2018533349	0.24390 	 0.00050	10.96	11.08	11.17	4.92	8.95	8.95	-0.168 	 0.050	-1.208 	 0.443	0.3927 	 0.1344	
14735	2006km	35.1584739685	0.3481049836	0.30110 	 0.00050	10.29	10.38	10.47	2.91	4.41	5.72	0.045 	 0.039	0.157 	 0.407	-0.2168 	 0.1067	
14782	2006jp	314.2340698242	-0.2791627347	0.16040 	 0.00050	11.13	11.26	11.35	4.80	7.28	9.68	0.011 	 0.023	-0.503 	 0.211	-0.4487 	 0.0597	
14815	2006iz	319.0716552734	0.5595042109	0.13630 	 0.00050	8.78	8.79	8.82	2.74	2.74	2.79	-0.027 	 0.042	3.869 	 0.430	0.2070 	 0.1037	
14846	2006jn	7.6626000404	0.1420275271	0.22470 	 0.00050	10.96	10.99	11.04	4.23	5.68	6.97	-0.059 	 0.030	0.378 	 0.333	0.0229 	 0.0894	
