SNID	ra	dec	PetroRad_r	u	g	r	i	z	err_u	err_g	err_r	err_i	err_z	redshift
5103	359.88435201	0.736853739454	2.127625	21.73764	21.25979	20.83803	20.6519	20.81582	0.1786033	0.05501135	0.05805276	0.08203574	0.2867578	0.16198
5550	3.59849197531	0.333176421282	2.768764	20.89943	20.46199	19.83085	19.61145	19.65928	0.133105	0.1052661	0.05141272	0.0414427	0.1770827	0.156273
5751	11.6343617536	0.838162572663	3.31863	20.54848	19.07584	18.16927	17.68261	17.38957	0.1046662	0.01510465	0.01049202	0.01159247	0.02878958	0.1306004
5890	332.515785227	0.60969181226	2.160191	21.18565	19.90429	18.87692	18.37932	18.1	0.1222733	0.02137747	0.01307484	0.01316576	0.03209035	0.179994
5916	5.43714697377	-0.324991509354	2.424836	20.95252	19.33731	18.2887	17.77545	17.43062	0.1016744	0.01468117	0.00963515	0.00888157	0.02045991	0.1740905
5944	29.202113954	-0.212564848	13.82017	17.59405	15.8833	15.09691	14.70671	14.42333	0.02147352	0.003358241	0.00279535	0.002778802	0.005777733	0.0459424
6057	52.5537049033	-0.974470847362	6.337426	18.90771	17.7358	17.18587	16.83513	16.60563	0.03757998	0.007467766	0.00651647	0.007134854	0.01990239	0.06705841
6406	46.0885711053	-1.06310220709	5.46409	20.26437	18.70817	17.98708	17.53535	17.26886	0.1060222	0.01450832	0.01169209	0.01217675	0.03443315	0.1244884
6422	349.138851263	-0.663468875572	2.195395	22.68147	21.21722	20.47022	20.17106	19.80726	0.4619875	0.0630907	0.04880077	0.05466274	0.1371836	0.1864429
6530	14.3291360946	0.0213559327165	1.294983	24.33133	21.61394	20.28265	19.73151	19.55914	0.7836185	0.05487106	0.02706076	0.02348964	0.07884913	0.1947888
6558	21.70191119	-1.23812378677	3.833339	20.35036	18.94301	18.2226	17.83929	17.5458	0.07302452	0.01682792	0.01052792	0.01100294	0.02610718	0.05740202
6936	323.233882079	-0.700060094909	4.233948	21.16635	20.06941	19.27059	18.93154	18.65802	0.2213052	0.03579038	0.02705992	0.03152927	0.09376179	0.1801979
6962	38.8607664275	1.07451656216	4.419657	18.98689	17.27229	16.34394	15.91743	15.56125	0.03140501	0.005169	0.003751037	0.003664478	0.006623147	0.09388893
7147	350.018524626	-0.0556015240036	2.92537	21.48	19.134	18.10949	17.67484	17.32018	0.2000572	0.01337841	0.009157133	0.008838577	0.02179097	0.1102319
7600	347.613583765	-1.10771429114	2.643407	21.95303	19.86168	18.54017	18.00626	17.60133	0.2608693	0.02296914	0.01119001	0.01071505	0.02463469	0.1880791
7876	19.1824345269	0.794563167128	1.313003	21.58781	21.21766	21.24438	21.09227	21.63658	0.1338958	0.05577914	0.07080816	0.09661411	0.5202181	0.07602309
8213	357.521088751	-0.921527774274	3.563407	22.52747	21.68828	20.40563	19.7515	19.32203	0.4247918	0.1075074	0.04518262	0.04026719	0.1084794	0.1861762
8254	351.163752822	0.819966231914	1.964071	21.33218	20.69962	20.09775	19.81503	19.74803	0.1282648	0.03243341	0.02835497	0.03425099	0.1068458	0.1891304
8555	2.91560637427	-0.415042559333	1.59315	21.28552	20.34951	19.69616	19.36391	19.3178	0.1115807	0.02447516	0.0208842	0.02182514	0.07776882	0.1976574
8719	7.72191919728	-0.718633658324	2.721117	20.7746	20.1226	19.75309	19.4227	19.40837	0.1109491	0.03223075	0.03532319	0.03791659	0.1191841	0.1175697
8921	325.00198806	-0.00806773134227	3.523319	20.73	19.29129	18.65164	18.30957	18.03283	0.136742	0.01907565	0.01733886	0.01879143	0.05697457	0.1453846
10028	17.7419418368	0.276128992799	2.871837	18.94073	17.21711	16.41155	16.02829	15.74092	0.02917798	0.004510157	0.003797103	0.003778207	0.00757813	0.06532882
10805	344.927759004	-0.0135705384838	4.950978	18.14592	16.8983	16.38761	16.07858	15.86406	0.02143507	0.004218532	0.003898719	0.003977346	0.00934533	0.04536276
11172	322.412574735	-0.202205669021	4.015895	19.6245	18.6255	18.1238	17.82975	17.63681	0.04480702	0.009669283	0.009665179	0.01079247	0.03436083	0.1362223
12860	323.694965369	1.17540944639	4.472718	20.80294	19.14211	18.31986	17.86434	17.40596	0.140136	0.01503123	0.01108961	0.01107493	0.02520769	0.1217078
12898	26.7930510122115	-0.146864685	na	20.18	19.11	18.49	18.02	17.82	0.07	0.01	0.01	0.01	0.03	0.08358109742403
