SNID,ra,dec,u,g,r,i,z,err_u,err_g,err_r,err_i,err_z,redshift
13736,336.832664208,1.03070919535,22.15837,20.78008,20.12383,19.77771,19.5017,0.33219,0.05075973,0.04100156,0.0434825,0.1182988,0.1502249
13802,355.011733853,0.612405308832,20.77236,20.12978,19.2277,18.76992,18.49273,0.0871556,0.02465606,0.01638392,0.01771741,0.04399391,0.3135627
13820,325.633021958,-0.320162920303,23.23513,22.1591,21.58401,21.46074,21.53218,0.9272532,0.1669738,0.1444521,0.2655996,0.8085387,0.135747
13864,348.574572657,0.191035905526,22.48248,20.89377,19.4838,18.95726,18.49158,0.3679356,0.04441276,0.02126666,0.01897147,0.04929633,0.3008331
13896,2.7129648979,-0.0699597439549,23.89273,22.33767,21.7486,21.54893,21.5809,0.7904179,0.1077963,0.1014904,0.1150782,0.4410868,0.1573336
13908,15.9159280327,0.295153943357,21.98699,19.87479,18.53782,18.02385,17.6548,0.3698816,0.02404572,0.01252613,0.0116446,0.03178851,0.239799
14074,342.126165563,-0.825244919938,21.83058,20.93727,20.31571,20.14898,19.813,0.2955025,0.05601477,0.05058618,0.07469604,0.1749664,0.2619117
14113,28.4445130583,-0.818435999488,21.79636,20.9502,20.0351,19.6111,19.51792,0.1844993,0.04179501,0.02846974,0.02756703,0.08202067,0.2424115
1415,6.10648960826,0.599021981908,20.84373,18.9174,17.5068,16.9424,16.54466,0.1508792,0.01515396,0.007473083,0.007081313,0.0141129,0.2118723
14212,330.47066807,1.0444771765,22.35332,21.09521,20.01686,19.54908,19.06856,0.3659399,0.05093682,0.02829853,0.02791855,0.06461626,0.204490005970001
14261,328.240401556,0.253680539622,23.25294,22.27727,21.98644,21.62807,22.75964,0.4893208,0.08866981,0.1107067,0.1193252,0.7908602,0.2858692
14279,18.488256396,0.37142073528,18.20852,16.58819,15.82801,15.44592,15.15688,0.02321571,0.003597269,0.003067166,0.00306005,0.006485102,0.04538947
14284,49.0493571032,-0.600981773263,21.31958,19.51323,18.57059,18.18355,17.8623,0.1106464,0.01288528,0.008982351,0.008948517,0.01964453,0.1810665
