cid	redshift	err_redshift	mu	err_mu	u	g	r	i	z	err_u	err_g	err_r	err_i	err_z
13099	0.2660253942012787	1.7705799109535292e-05	40.52750015258789	0.21016399562358856	23.076062501390933	22.44746825035181	21.556521668589387	21.181499479691517	20.883000932202606	0.24896703796373215	0.027894104384116623	0.015311664426076186	0.015633536030899967	0.04616064796005835
13135	0.10467089712619781	2.9709899536101148e-05	38.22909927368164	0.07007589936256409	24.554502001925968	25.06690683033544	24.08125477009466	23.64741723501194	23.09503452582623	0.5645907616922413	0.21215425371826252	0.09810498354939637	0.07925358096855695	0.19971545910296037
13152	0.20354799926280975	1.4299999747890979e-05	39.64179992675781	0.0675669014453888	23.944161368199364	23.044996402063553	22.51687550693948	22.2801419763748	22.17679347447318	0.3605928720030905	0.0391517068194401	0.032465790290529796	0.03406662180921256	0.12498178111622722
13174	0.23613299429416656	1.8000000636675395e-05	40.11259841918945	0.09505999833345413	23.06142087055877	21.559284038126748	20.41481236718212	19.918791002530533	19.567072459515806	0.15365800144937222	0.015287809460234895	0.007141848320241126	0.006487225266354477	0.014991588631318348
13305	0.2148119956254959	1.1099999937869143e-05	40.05329895019531	0.08082140237092972	24.303415057309877	23.638847844001244	23.16390005687825	22.90347981093625	23.044008920226716	0.3809600718449577	0.07973161862142836	0.06442769661737327	0.06759835236493307	0.2543583817874272
13354	0.1576254963874817	8.415950105700176e-06	39.233299255371094	0.0842294991016388	24.225666635326206	24.408976725256792	23.648277905849525	23.006658045744373	22.78139529490784	0.6122561564960811	0.13666257725918485	0.0701036017378326	0.05378614136878217	0.18149851474257953
13529	0.3024440109729767	2.5299999833805487e-05	40.33190155029297	0.1498440057039261	24.09299257311561	23.660399488585874	22.954525247907537	22.766005438303605	22.40063077441626	0.42692828309409486	0.05499205989777341	0.039798208225479026	0.04072465848952027	0.11826038480577365
1354	0.24943600594997406	1.0099999599333387e-05	40.27519989013672	0.24481600522994995	23.824578658890353	22.588426341387787	21.842685020913528	21.50580801841015	21.31349448071893	0.352864266546392	0.028896737711339764	0.017562419668065953	0.01742539587883418	0.061585203193251975
13545	0.21401800215244293	3.511970135150477e-05	39.875999450683594	0.20158299803733826	23.483250483332103	21.944421688123978	20.723950852237323	20.09134979142416	19.687055286104695	0.1652271581355355	0.015008864524417728	0.007508122145564532	0.006310150500990926	0.01272893457229855
13689	0.25176799297332764	1.1899999663000926e-05	40.61130142211914	0.0934280976653099	25.146732675668314	26.324578658890353	25.198970254337688	24.92938635517641	23.306206276925042	0.9368411073212487	0.9277372794388494	0.40261670047431797	0.4186038425570698	0.3561315282736735
1371	0.11934299767017365	2.6199999410891905e-05	38.480899810791016	0.06189880147576332	23.228620692575124	21.51796348059298	20.423610925906143	19.999402127625444	19.617179617688983	0.16215844609857405	0.0164839227609026	0.0076637604363521345	0.006428347306453996	0.015407534101978025
13736	0.15020699799060822	2.1600000764010474e-05	39.26070022583008	0.06437580287456512	24.269780970157825	24.08601198530516	23.404110297261496	23.090389105930957	23.41447375047266	0.5433259613352461	0.14019475323722344	0.12397608468517464	0.15122018487523095	0.6084704497893225
13802	0.31356269121170044	3.0032300855964422e-05	40.64680099487305	0.29248398542404175	22.377147186527182	21.971280647333064	21.068616003132888	20.664451331936938	20.31804310969931	0.07046871235505911	0.020395450791699504	0.01181748249394073	0.01095661675395837	0.026327800402569778
13820	0.13572099804878235	5.980000059935264e-05	40.29909896850586	0.1337369978427887	24.504489601137855	24.8296043520987	24.111434118061034	23.59780857824591	24.069515587589436	0.6693257741075678	0.25839908262958305	0.1534092098327912	0.1309294302936942	0.795106642058408
13864	0.3008500039577484	4.830000034417026e-05	40.82279968261719	0.11096999794244766	25.26181119313954	24.381058947490995	23.191247210127997	22.69968880909903	22.284301421570333	0.9898352150634051	0.13123187486571938	0.05708451675198912	0.049956084892876534	0.14130014640383515
13896	0.15731699764728546	3.840000135824084e-05	39.74850082397461	0.08710669726133347	24.49411954900232	23.846058832211625	23.14261578041161	22.908259926022797	22.855971273151656	0.7320181359767478	0.09027829394273353	0.05582705323619452	0.057574940340563464	0.21320439158419385
13908	0.23977400362491608	3.930000093532726e-05	40.346500396728516	0.10785800218582153	23.465643564440608	21.893815452871248	20.51864465683396	19.973416447228395	19.608805212849187	0.263502064170857	0.01476163248448336	0.006127756288843616	0.004916596358552669	0.012855316876928754
14074	0.2619200050830841	1.3300000318849925e-05	40.66279983520508	0.13767099380493164	23.520875045164612	23.60771650590534	23.25407111204346	23.040559789378094	22.740333149817463	0.4105583589501474	0.09289721538037472	0.07497748088015324	0.06715133300837549	0.22106484581415525
14113	0.2423190027475357	3.389999983482994e-05	39.67829895019531	0.10983099788427353	23.523174522631457	22.71161413942383	21.84792064868298	21.465745475562162	21.124433328898725	0.3383813896101308	0.029123747259492662	0.017614511841544275	0.014014336436642169	0.04214913862381442
1415	0.21186399459838867	3.51999988197349e-05	39.772300720214844	0.10876800119876862	24.314490865153036	21.925761387329924	20.50808947140294	19.944338915484746	19.54148720941552	0.4594539176133347	0.022218652291463827	0.007930553368967691	0.007158700251152502	0.014109278212401185
14212	0.20449000597000122	4.709999848273583e-05	39.90950012207031	0.07047340273857117	24.377513821073048	25.227352374474428	24.77745903706679	24.355161110952245	23.612704583000767	0.5787671727940727	0.2839135658010986	0.30596470118380314	0.33037684697704034	0.5804480738561113
14261	0.285847008228302	2.2300000637187622e-05	40.54890060424805	0.11066299676895142	24.043185821207697	23.322029002375725	22.672362088724263	22.29687622920245	22.050541624728833	0.493133580278621	0.0512011007657812	0.03693886248596089	0.03189257102144711	0.09637811276899035
14279	0.04538949951529503	1.0812999789777678e-05	36.16669845581055	0.0992857962846756	22.30010500217826	20.891803331936025	20.068498119210002	19.685263641795892	19.36627994342752	0.09302756943402989	0.008335081947610937	0.004723223208144047	0.004155424839727631	0.011112574275769947
14284	0.18106649816036224	4.752329914481379e-05	39.26380157470703	0.08153899759054184	22.5900495083888	21.026248087896363	20.12806820877247	19.75766516542511	19.461767817708537	0.1195544354730675	0.007224647219329609	0.004064361125961638	0.00337752703485014	0.008753645697144053
14331	0.22115899622440338	1.5499999790336005e-05	40.464599609375	0.09269999712705612	25.26830005600466	24.388013925479328	23.853314375616623	23.96493836530004	23.65865952634689	1.2928530195586048	0.1328750515164808	0.09381634389964641	0.13416103421852046	0.4052603832331785
14340	0.2774411141872406	6.841419963166118e-05	40.47019958496094	0.18383799493312836	24.095329444959475	22.461230076482572	21.03863010325819	20.462736737336762	20.0548886546743	0.6616570527200906	0.0328346479142905	0.011036372317899841	0.008636433918911144	0.022664586012419122
14375	0.3232640027999878	0.00014010000450070947	40.570499420166016	0.10344400256872177	25.100495637842933	23.191812550523355	21.954325644560146	21.466784071149977	21.24455110023295	1.3432295342853593	0.04346903232279031	0.01543402415694162	0.011194489835532563	0.03809485175966782
14377	0.139409601688385	1.5087300198501907e-05	39.11159896850586	0.07710570096969604	24.497126089392903	23.04647931083688	22.183698374624715	21.654624413538038	21.220360604016918	0.5618731901919887	0.0341302041586838	0.018295962223831164	0.012741958519304318	0.035442846277358594
14403	0.2898159921169281	7.049999840091914e-05	40.94160079956055	0.13194100558757782	25.232896571396957	23.386378030430002	22.444907215002956	21.961039502266328	21.7977626217853	1.2606397845007362	0.06053063900421024	0.03231628441910977	0.028740611354787702	0.08365790863721229
14421	0.17504100501537323	2.7300000510876998e-05	39.824501037597656	0.07674039900302887	23.13346701972158	21.040187831222323	19.83241946227976	19.35054796080534	18.950057193322863	0.16173503780651705	0.008464533513046149	0.005109648317884612	0.005295512288803657	0.010438984117370832
14437	0.14926700294017792	3.819999983534217e-05	39.105499267578125	0.062395598739385605	24.46249662203512	22.76029002132537	21.807199762509583	21.397896318454166	21.067816197421024	0.8562680359163493	0.04339904605648525	0.019699011309957624	0.017911396671309265	0.05640551490845805
14445	0.23698000609874725	3.229999856557697e-05	40.082401275634766	0.14566799998283386	24.735644245483783	22.860129593840814	21.384970734788936	20.79931666727545	20.471010804342175	1.403581259518929	0.04891229103553507	0.014251626119655525	0.009739784240498458	0.03598202687931956
14480	0.3307960033416748	0.0001145999995060265	41.069801330566406	0.22189800441265106	25.21634819712081	23.671777723039177	22.132631431841787	21.640171350974306	21.128653062950143	1.421493283204341	0.07787561708520424	0.030378442799535332	0.028335331092240602	0.0708688094398589
