# sn id, amp_1, amp_2, mean_1, mean_2, std_1, std_2
1.977200000000000000e+04,5.162400506427397007e-01,4.837599493572847242e-01,8.044009157794064890e+00,6.320599664408359075e+00,8.545994661457060326e-01,1.037693826166601552e+00
1.618500000000000000e+04,5.266822337361223294e-01,4.733177662638211602e-01,6.126401130641940362e+00,8.267877258962437637e+00,1.028604421183560325e+00,1.046968255510690282e+00
7.876000000000000000e+03,7.559342356323726086e-01,2.440657643676880928e-01,1.162100257614725907e+00,2.181806430368725014e+00,3.022926240319414037e-01,6.908573825435484483e-01
6.422000000000000000e+03,4.609815085580222238e-01,5.390184914420407258e-01,4.121684000042232121e+00,2.495141266566038407e+00,1.073846258459293601e+00,6.749705291196816948e-01
1.620600000000000000e+04,7.374856673524070594e-01,2.625143326477679673e-01,8.439966148348243991e+00,1.697461823718541485e+00,1.421867880522842409e+00,8.103958128748899314e-01
1.313500000000000000e+04,9.303183303136695059e-01,6.968166968647727944e-02,9.466086981787539045e+00,4.203968632076678702e+00,9.037303959777078788e-01,1.002840086784589246e+00
1.837500000000000000e+04,3.703105626216589008e-01,6.296894373783037402e-01,2.865885586895461579e+00,7.463548542751496484e+00,1.219732122442636291e+00,1.245636717524287951e+00
1.861200000000000000e+04,6.001478922343025380e-01,3.998521077656219114e-01,7.352269924860261874e+00,4.638389666435637437e+00,4.493775490715652965e-01,1.714168223158546889e+00
1.880400000000000000e+04,3.274395803443931330e-01,6.725604196557798398e-01,3.269532762209595766e+00,5.112732900914927825e+00,9.800221532255557477e-01,7.318982677953116411e-01
2.004800000000000000e+04,2.966944370820674970e-01,7.033055629183531110e-01,1.747944689993049083e+00,8.564768474186902125e+00,9.410066906511999063e-01,1.216957818842346883e+00
1.437700000000000000e+04,3.214622056173069287e-01,6.785377943826002012e-01,5.447578779863141207e+00,6.014030653350570077e+00,1.217526662009398963e+00,5.965396934111096838e-01
1.513600000000000000e+04,6.143652632161239469e-01,3.856347367838758866e-01,4.898923285563806296e+00,4.892183226241538563e+00,4.766437281684340332e-01,1.054556767283243435e+00
1.720600000000000000e+04,4.294412994744284395e-01,5.705587005255210453e-01,7.668946186785514207e+00,2.073558025323520848e+00,1.733779913049868782e+00,5.601964446554511534e-01
1.718600000000000000e+04,2.806903792469371273e-01,7.193096207530577102e-01,2.617651407786365958e+00,1.320001686925694750e+00,8.652233401564903836e-01,3.508591426184622941e-01
6.558000000000000000e+03,6.704687304805608816e-01,3.295312695193494124e-01,7.415165107830228308e+00,3.351442576546251662e+00,1.354046501251030987e+00,1.261570183925702970e+00
1.860400000000000000e+04,3.160213420275448937e-01,6.839786579724994597e-01,2.970593134898567023e+00,7.523593668985533611e+00,1.655611945448115963e+00,1.510154908722970202e+00
1.996800000000000000e+04,2.898836742253210752e-01,7.101163257746510027e-01,7.812872577355466142e+00,8.023629670666336366e+00,1.578366750467344870e+00,5.908394437016426526e-01
1.373600000000000000e+04,5.453028903674494998e-01,4.546971096325238548e-01,4.025578674807114510e+00,2.491239780303634799e+00,1.044272651650482331e+00,6.980098306170615663e-01
3.317000000000000000e+03,4.125190082701617467e-01,5.874809917297846296e-01,2.858297845878205568e+00,5.294342157374178015e+00,1.099521892427371084e+00,1.022257304858058102e+00
1.996900000000000000e+04,2.834467319050886780e-01,7.165532680949394662e-01,3.440436321793553631e+00,4.325415653996572019e+00,5.587390278863092474e-01,3.287101513296800670e-01
