# sn id, amp_1, amp_2, amp_3, mean_1, mean_2, mean_3, std_1, std_2, std_3
1.718600000000000000e+04,5.803779811455868076e-01,3.056772589754455649e-01,1.139447598789231214e-01,1.195620862051591349e+00,2.000780336720989094e+00,3.323842257707295023e+00,2.556548959183537750e-01,4.236145038625931392e-01,7.858285457258620266e-01
6.558000000000000000e+03,3.178739545965242885e-01,4.183799095297080495e-01,2.637461358737489547e-01,6.129189323096585262e+00,8.021989617339878365e+00,2.925132994312453771e+00,1.100543139777672819e+00,1.163956524759905964e+00,9.672794914515157050e-01
1.860400000000000000e+04,1.714845184491017027e-01,4.178600123117748311e-01,4.106554692390488315e-01,1.680626696288182176e+00,8.335785328562719698e+00,5.633324486122515573e+00,6.916671501326208116e-01,1.136851614278034939e+00,1.358227004885368627e+00
1.996800000000000000e+04,1.480182799876968713e-01,2.205974929212048963e-01,6.313842270910851040e-01,7.132277962528969617e+00,8.707074808428549417e+00,7.897042761482206963e+00,1.669463939556743881e+00,8.405424956274889503e-01,5.395197935997666505e-01
1.373600000000000000e+04,2.150614607938603762e-01,3.625674274373558159e-01,4.223711117687125038e-01,4.571227470467028375e+00,2.191885538445821346e+00,3.670038060740530295e+00,1.163238907788217702e+00,5.070968971259733893e-01,6.266668048903966115e-01
3.317000000000000000e+03,3.635149096501382737e-01,2.581999485860660415e-01,3.782851417636859948e-01,4.184232200665833012e+00,2.257219217409267120e+00,5.777607038543875362e+00,7.504892543958877615e-01,8.204395558428556612e-01,8.355889895628114683e-01
1.996900000000000000e+04,3.028104875949003127e-01,5.543916187514408289e-01,1.427978936537024346e-01,3.883948101952864551e+00,4.432464185875721441e+00,3.089330868835725052e+00,3.136852279547214239e-01,2.749444481030028919e-01,4.781649581839916840e-01
1.616300000000000000e+04,1.231324937013264231e-01,3.030891912695846124e-01,5.737783150290638456e-01,4.336055971389907171e+00,7.353756607775660648e+00,6.446442164686184029e+00,1.328080625494037603e+00,1.164508606546838410e+00,7.408934907947002380e-01
7.147000000000000000e+03,2.569881703399143902e-01,2.590681996957960309e-01,4.839436299642199124e-01,8.335367281601214984e+00,1.929978230313207810e+00,1.017377643096406281e+01,1.427132495819044111e+00,7.552117151770717518e-01,7.488148802460508069e-01
5.103000000000000000e+03,4.212274986908859931e-01,3.141390471481457225e-01,2.646334541609523527e-01,4.164061780370916566e+00,3.091155094501396139e+00,1.864445346333084785e+00,4.304578444652267244e-01,4.633015358253604332e-01,4.905224140004383893e-01
