# logzsol	dust2	tau	tStart	sfTrans	sfSlope	c	age
# dex		1/Gyr	Gyr	Gyr		mag	Gyr
-3.837686713655592829e-02	2.082901331738898631e-01	2.125968147071861214e+00	3.425778494327811341e+00	7.798059362931792471e+00	-2.015528137046425528e+00	-2.496101522697227892e+01	7.148578693904946491e+00
-3.837731350471507846e-02	2.082887806011312626e-01	2.125996573426758740e+00	3.425761681221401567e+00	7.797942032150655400e+00	-2.015471558351975556e+00	-2.496099380430091585e+01	7.148623210028356212e+00
-3.838044388456239575e-02	2.084023942022349141e-01	2.125877149791117748e+00	3.425982490111178613e+00	7.804823629680885055e+00	-2.014244080532129555e+00	-2.495965624872025401e+01	7.145837614284479500e+00
-3.836289275376982000e-02	2.085760250379913860e-01	2.124404378920952130e+00	3.426017504108621825e+00	7.815529711238735189e+00	-2.013456446170626801e+00	-2.497538195357143209e+01	7.142170556900452993e+00
-3.836349296115803414e-02	2.085729618890794224e-01	2.124425941348382363e+00	3.426009674045235709e+00	7.815427960299566656e+00	-2.013464736500483188e+00	-2.497524183421815636e+01	7.142207367145130270e+00
-3.836349296115803414e-02	2.085729618890794224e-01	2.124425941348382363e+00	3.426009674045235709e+00	7.815427960299566656e+00	-2.013464736500483188e+00	-2.497524183421815636e+01	7.142207367145130270e+00
-3.836349296115803414e-02	2.085729618890794224e-01	2.124425941348382363e+00	3.426009674045235709e+00	7.815427960299566656e+00	-2.013464736500483188e+00	-2.497524183421815636e+01	7.142207367145130270e+00
-3.836349296115803414e-02	2.085729618890794224e-01	2.124425941348382363e+00	3.426009674045235709e+00	7.815427960299566656e+00	-2.013464736500483188e+00	-2.497524183421815636e+01	7.142207367145130270e+00
-3.836349296115803414e-02	2.085729618890794224e-01	2.124425941348382363e+00	3.426009674045235709e+00	7.815427960299566656e+00	-2.013464736500483188e+00	-2.497524183421815636e+01	7.142207367145130270e+00
-3.838959272418594054e-02	2.092076339065684909e-01	2.123065619760435840e+00	3.408888493945115616e+00	7.846120432744559281e+00	-2.018549060046125998e+00	-2.497696768380377463e+01	7.141560432792810609e+00
-3.842950197440914845e-02	2.078307101358623510e-01	2.129006912751237657e+00	3.423838713188583238e+00	7.804300144030451136e+00	-2.007581819370032328e+00	-2.496375079926761131e+01	7.146112600768598888e+00
-3.843688124446451720e-02	2.077349550324723293e-01	2.129366124339797217e+00	3.423284958135136335e+00	7.807545263453131490e+00	-2.005577632103295649e+00	-2.496979879249807865e+01	7.145023826639210540e+00
-3.850381176977204362e-02	2.069977787924555113e-01	2.136569755282232919e+00	3.420132789349787927e+00	7.815962966534465650e+00	-2.002376751566504076e+00	-2.497295306671155757e+01	7.141153657244994513e+00
-3.850381176977204362e-02	2.069977787924555113e-01	2.136569755282232919e+00	3.420132789349787927e+00	7.815962966534465650e+00	-2.002376751566504076e+00	-2.497295306671155757e+01	7.141153657244994513e+00
-3.851720611421671076e-02	2.070039122991348401e-01	2.137285145939402220e+00	3.420988280630126610e+00	7.821033566111109891e+00	-1.998394442712345231e+00	-2.497333951431669519e+01	7.138320986576802696e+00
-3.851720611421671076e-02	2.070039122991348401e-01	2.137285145939402220e+00	3.420988280630126610e+00	7.821033566111109891e+00	-1.998394442712345231e+00	-2.497333951431669519e+01	7.138320986576802696e+00
-3.851720611421671076e-02	2.070039122991348401e-01	2.137285145939402220e+00	3.420988280630126610e+00	7.821033566111109891e+00	-1.998394442712345231e+00	-2.497333951431669519e+01	7.138320986576802696e+00
-3.851298327513109909e-02	2.070862355966913149e-01	2.136730974204262612e+00	3.421185013131434083e+00	7.819162245806536404e+00	-1.999336948042889750e+00	-2.497251116212101962e+01	7.139137753299145572e+00
-3.846030157245733383e-02	2.074249141871079005e-01	2.134744829374048525e+00	3.424284064380310522e+00	7.812556620590406453e+00	-2.003711726556754336e+00	-2.496890934257628558e+01	7.140583435978188120e+00
-3.846030157245733383e-02	2.074249141871079005e-01	2.134744829374048525e+00	3.424284064380310522e+00	7.812556620590406453e+00	-2.003711726556754336e+00	-2.496890934257628558e+01	7.140583435978188120e+00
-3.816747441524615675e-02	2.077869410980596743e-01	2.144947329244458967e+00	3.431921007456812944e+00	7.831950406342099491e+00	-2.005865268407712065e+00	-2.497291284055445360e+01	7.124967795341870413e+00
-3.816747441524615675e-02	2.077869410980596743e-01	2.144947329244458967e+00	3.431921007456812944e+00	7.831950406342099491e+00	-2.005865268407712065e+00	-2.497291284055445360e+01	7.124967795341870413e+00
-3.812224617237881807e-02	2.075349801496119417e-01	2.154838714235856933e+00	3.435944111567766246e+00	7.851465238465295648e+00	-2.004464524929475466e+00	-2.497272981920359669e+01	7.111536400092286492e+00
-3.812224617237881807e-02	2.075349801496119417e-01	2.154838714235856933e+00	3.435944111567766246e+00	7.851465238465295648e+00	-2.004464524929475466e+00	-2.497272981920359669e+01	7.111536400092286492e+00
