# sn id, amp_1, amp_2, mean_1, mean_2, std_1, std_2
1.373600000000000000e+04,4.199382247679775970e-01,5.800617752320822440e-01,3.775453054424490862e+00,1.971226969319786582e+00,9.620738576388976337e-01,6.279085648208120318e-01
8.555000000000000000e+03,2.764811788598134923e-01,7.235188211400110925e-01,3.611279163424488292e+00,4.641870301319838354e+00,7.312167803362169538e-01,4.644078411276136853e-01
1.427900000000000000e+04,3.196667959402093584e-01,6.803332040601314246e-01,2.148651874089026137e+00,8.113742595448735884e+00,9.629526931750919116e-01,1.494842315765092966e+00
2.052800000000000000e+04,7.303008344597081702e-01,2.696991655404066823e-01,8.977867503551919981e+00,1.881713416702375019e+00,1.350625112285909424e+00,8.114985593632006999e-01
1.935300000000000000e+04,6.671150006624252393e-01,3.328849993378113492e-01,5.421853592798499655e+00,1.613723251116827795e+00,1.941816388449367548e+00,6.067846216148263805e-01
6.962000000000000000e+03,4.094224792472399010e-01,5.905775207526255954e-01,6.803118155176463233e+00,7.165225691342853587e+00,1.287976143789094197e+00,7.521104793908864883e-01
1.542100000000000000e+04,4.115896178764684166e-01,5.884103821236306153e-01,4.481653348643885870e+00,2.201777943054568087e+00,1.479353369899680359e+00,7.072971019416822713e-01
3.087000000000000000e+03,2.810185967254155703e-01,7.189814032745970307e-01,3.134493242979443650e+00,1.733817745537093558e+00,7.841877456548467240e-01,4.221229567769267943e-01
2.207500000000000000e+04,7.575789213553589807e-01,2.424210786446009958e-01,7.037596462240442108e+00,2.270587891629869404e+00,1.395412407037740055e+00,1.112197513624568090e+00
8.921000000000000000e+03,3.797925736676266983e-01,6.202074263324854897e-01,7.166645581092571327e+00,3.936438869633927862e+00,1.354867331512308537e+00,1.078522715593730030e+00
1.996800000000000000e+04,7.376951534453448645e-01,2.623048465546218844e-01,1.014673890505883413e+01,2.084787488889807694e+00,1.315215094017765152e+00,9.229865547289055616e-01
2.103400000000000000e+04,5.330565732265324375e-01,4.669434267735074195e-01,4.152178682631640250e+00,2.439061007952821214e+00,6.868456757637850796e-01,6.779000027988477672e-01
1.545900000000000000e+04,7.147167773881996089e-01,2.852832226118633963e-01,1.499337764244770277e+00,2.512120964493608444e+00,3.394123146502912025e-01,7.255951076502585861e-01
7.147000000000000000e+03,7.044667565831768119e-01,2.955332434168067568e-01,9.992851180300529990e+00,2.069273653297189597e+00,9.859740706153445888e-01,9.037212085143411233e-01
2.076400000000000000e+04,8.837462381407198420e-01,1.162537618593288830e-01,9.593863882578006042e+00,2.439510915095676857e+00,8.679437645393048850e-01,7.594716197371400579e-01
1.478400000000000000e+04,4.015919112314718653e-01,5.984080887686835659e-01,2.606365016074257746e+00,4.315573203907960398e+00,7.761648295519387730e-01,7.733738083267457375e-01
7.876000000000000000e+03,5.213986192813694354e-01,4.786013807186970670e-01,2.701379315946998538e+00,3.990430699832804962e+00,6.273633990112403858e-01,6.326492975288816600e-01
1.880400000000000000e+04,5.522476463174356143e-01,4.477523536825592787e-01,2.090296061674390415e+00,3.757183433483926471e+00,5.871519172350460058e-01,7.551530426276068519e-01
1.437700000000000000e+04,5.993766071095029124e-01,4.006233928906851038e-01,6.364480627408447333e+00,2.547392356251794165e+00,1.059895204412359293e+00,1.010621192173024152e+00
1.721800000000000000e+04,7.072234581880335602e-01,2.927765418119783192e-01,4.861701369708199216e+00,3.819017037642312928e+00,4.307839260798531633e-01,6.802394926282936405e-01
7.600000000000000000e+03,2.951104193148686439e-01,7.048895806853131552e-01,1.798378428163545095e+00,8.766536904426212473e+00,8.551792425548155885e-01,1.205913457282791423e+00
8.719000000000000000e+03,5.720322693967079264e-01,4.279677306033328188e-01,2.031105387092669190e+00,3.605781461027033785e+00,5.707545695711414568e-01,7.336086828566457108e-01
6.558000000000000000e+03,3.812181964126774014e-01,6.187818035874662614e-01,2.045087022030570356e+00,7.956604189536304439e+00,7.835658557380711375e-01,1.977151960238680672e+00
1.769500000000000000e+04,4.608753573189557362e-01,5.391246426810352155e-01,2.430938257872522712e+00,3.779846009673402119e+00,6.485272798752839130e-01,6.271560329285420510e-01
1.428400000000000000e+04,6.413896867876088814e-01,3.586103132125495474e-01,4.668051331934298886e+00,5.726626972923032355e+00,6.799409873507664681e-01,8.744196101907658614e-01
1.861200000000000000e+04,5.998436862384146639e-01,4.001563137615508636e-01,6.729085680153745308e+00,2.643000191355042272e+00,1.200146947421202315e+00,1.188622651865871127e+00
1.874900000000000000e+04,5.280992390329473096e-01,4.719007609670751724e-01,4.956235481944021970e+00,7.304632830100996621e+00,1.012890215917626291e+00,1.049675011489195731e+00
1.618500000000000000e+04,5.196276340483884093e-01,4.803723659515772848e-01,6.761012990200850226e+00,5.657784156880117266e+00,1.050450327361503122e+00,1.084465719064880762e+00
2.148700000000000000e+04,7.699728530895941780e-01,2.300271469102828092e-01,5.569570238577681742e+00,3.944881536725206139e+00,5.495491607770082165e-01,1.100811223858583432e+00
2.012500000000000000e+04,8.630375981664679674e-01,1.369624018336866866e-01,9.421284338343610898e+00,2.287565791168938656e+00,1.058214040919989163e+00,8.471879047306823951e-01
5.890000000000000000e+03,4.793240482349994114e-01,5.206759517650220159e-01,2.425519302185019210e+00,4.584197758623217211e+00,8.369096968919778057e-01,1.063724356674330851e+00
1.860200000000000000e+04,3.886127623520343466e-01,6.113872376479795312e-01,3.081458349436350108e+00,5.130258138189979888e+00,9.964697314281608653e-01,9.738843710371541951e-01
