# sn id, amp_1, mean_1, std_1
7.600000000000000000e+03,1.000000000000000000e+00,6.710160734645560510e+00,3.367694358282121492e+00
8.719000000000000000e+03,1.000000000000000000e+00,2.705015932889824892e+00,1.011783310214765530e+00
6.558000000000000000e+03,1.000000000000000000e+00,5.703026276878307321e+00,3.300970790267027333e+00
1.769500000000000000e+04,1.000000000000000000e+00,3.158167667571823323e+00,9.262787280472847273e-01
1.428400000000000000e+04,1.000000000000000000e+00,5.047667474109305275e+00,9.102021811921875427e-01
1.861200000000000000e+04,1.000000000000000000e+00,5.094012773241211711e+00,2.331720631776589059e+00
1.874900000000000000e+04,1.000000000000000000e+00,6.064445977592466619e+00,1.560813338501215952e+00
1.618500000000000000e+04,1.000000000000000000e+00,6.231052345352440902e+00,1.200891382673755059e+00
2.148700000000000000e+04,1.000000000000000000e+00,5.195847731872565767e+00,9.893396011054473860e-01
2.012500000000000000e+04,1.000000000000000000e+00,8.444233112118665119e+00,2.660850456715673662e+00
5.890000000000000000e+03,1.000000000000000000e+00,3.549491262045629814e+00,1.444942211025419754e+00
1.860200000000000000e+04,1.000000000000000000e+00,4.334068392776233125e+00,1.401092344353164432e+00
1.720600000000000000e+04,1.000000000000000000e+00,5.313525190642408802e+00,2.663042449133385503e+00
1.586600000000000000e+04,1.000000000000000000e+00,6.338427273341753931e+00,2.820355121039971991e+00
1.616300000000000000e+04,1.000000000000000000e+00,8.144617173018350087e+00,1.349993127475455523e+00
3.592000000000000000e+03,1.000000000000000000e+00,3.598736495711074568e+00,1.140068916598502513e+00
2.372000000000000000e+03,1.000000000000000000e+00,5.907393230737540968e+00,1.673412067371356615e+00
1.869700000000000000e+04,1.000000000000000000e+00,5.228498690251549341e+00,2.799969241204700143e+00
1.512900000000000000e+04,1.000000000000000000e+00,4.200056373989514924e+00,2.047132249218106548e+00
1.389600000000000000e+04,1.000000000000000000e+00,3.928077232988460121e+00,1.416515162387977700e+00
8.254000000000000000e+03,1.000000000000000000e+00,3.697867946013954743e+00,1.286193143209302781e+00
1.117200000000000000e+04,1.000000000000000000e+00,4.910012993904894429e+00,4.382903291066658769e-01
