# sn id,Local age,UNCERT,Global age,Uncut,Stell mass,PC1
17218,4.7,0.7,4.5,1.9,10.1,-0.38
17695,3.2,1.0,3.4,1.3,9.6,-2.02
18375,4.7,2.4,6.4,2.9,10.2,-0.54
18602,4.5,1.5,4.5,1.4,9.3,-1.13
18604,8.1,3.5,6.6,3.0,9.1,3.00
18612,5.5,2.7,7.0,1.6,10.8,0.52
18650,1.7,0.7,2.0,0.9,8.9,-3.81
18697,4.5,3.2,5.7,1.4,10.3,-0.90
18749,6.0,1.7,7.9,3.9,11.0,1.19
18804,2.7,1.2,4.7,1.2,10.2,-2.65
18835,7.2,3.8,6.5,3.3,10.6,1.72
19155,2.8,1.8,5.3,1.9,10.4,-2.66
19353,4.0,2.7,6.1,1.1,10.7,-1.41
19772,8.5,4.2,7.3,1.3,10.7,3.51
19775,2.5,3.5,5.9,3.6,10.2,-2.57
19953,3.0,1.2,2.3,0.9,9.5,-2.58
19968,9.7,4.5,8.0,0.8,10.4,4.76
19969,4.5,1.1,4.2,0.5,10.3,-0.71
20048,8.4,4.0,8.0,4.0,10.5,3.25
20064,7.3,4.0,8.9,1.1,10.9,1.84
20084,2.4,2.2,5.1,2.6,9.0,-2.93
20125,9.4,1.7,8.7,4.2,10.8,4.26
20528,8.5,4.1,9.3,4.0,10.8,3.18
20545,5.1,1.1,3.5,2.0,10.3,0.26
20575,8.2,3.6,7.8,3.9,11.1,3.06
20625,2.6,2.1,4.0,1.9,10.6,-2.46
20764,9.6,1.2,6.0,1.6,10.8,4.70
21034,3.4,1.2,5.9,0.7,10.5,-1.73
21487,5.4,0.8,5.9,1.0,10.5,0.50
21502,6.9,3.7,10.7,1.0,10.8,1.65
22075,6.5,2.7,10.0,4.1,11.0,1.74
