GAL,redshift,stellarmass,absmag_u,absmag_g,absmag_r,absmag_i,absmag_z
14481,0.243580,8.86280e+10,-20.1370,-21.2603,-22.0519,-22.3851,-22.7713
14524,0.272116,4.20763e+10,-19.2758,-20.7629,-21.4333,-21.8124,-22.1288
14593,0.307205,1.51691e+11,-20.5183,-21.3089,-22.4381,-22.9771,-23.3882
14784,0.192329,2.46598e+10,-18.7010,-20.0354,-20.7841,-21.1513,-21.5016
14816,0.107221,2.53280e+10,-17.9210,-19.8254,-20.6345,-21.0276,-21.3463
14965,0.281020,1.08541e+10,-18.8049,-20.1974,-20.5439,-20.8051,-20.8679
1504,0.317212,3.87956e+10,-19.1293,-20.2821,-21.0061,-21.4847,-21.5054
15057,0.246875,2.98320e+09,-17.9246,-18.9860,-19.3992,-19.4376,-20.0082
15129,0.198276,5.03442e+10,-19.6546,-21.1075,-21.7893,-22.1160,-22.4147
15136,0.148646,8.79538e+10,-20.6501,-21.7632,-22.3774,-22.6762,-23.0116
15137,0.278978,1.55326e+10,-17.6108,-19.7649,-20.4363,-20.8000,-21.1372
15201,0.208796,1.12798e+11,-18.8972,-21.2777,-22.2123,-22.5900,-22.9185
15203,0.204425,1.15167e+10,-16.7311,-19.2282,-19.9700,-20.2004,-20.3710
15219,0.247486,5.04054e+10,-18.6371,-20.8486,-21.6145,-21.9882,-22.3980
15234,0.136305,2.31351e+10,-19.0587,-20.3170,-20.9250,-21.2134,-21.5324
15268,0.298553,1.32708e+09,-18.2283,-19.5309,-19.7306,-19.8642,-17.9336
15272,0.280172,1.56947e+11,-19.8931,-21.8438,-22.6976,-23.1474,-23.5544
15301,0.179879,6.94244e+09,-17.8164,-18.9936,-19.5928,-19.8714,-20.2066
15303,0.234289,1.31339e+10,-19.1332,-20.0641,-20.5626,-20.7428,-21.0103
15325,0.213997,5.09123e+10,-18.6856,-20.6254,-21.4229,-21.7808,-22.1620
15351,0.316390,3.08323e+10,-19.7567,-20.7912,-21.3235,-21.5550,-21.7443
15356,0.274880,2.08683e+10,-18.3506,-19.5463,-20.4999,-20.9558,-21.4712
15359,0.311999,1.16043e+10,-19.7047,-20.5148,-20.9769,-21.0527,-21.3608
15365,0.187992,6.75130e+10,-19.5632,-21.1299,-21.8661,-22.2175,-22.5876
15383,0.316046,3.92727e+10,-18.9424,-20.4722,-21.1784,-21.5629,-21.7934
