# sn id, amp_1, amp_2, amp_3, mean_1, mean_2, mean_3, std_1, std_2, std_3
1.602100000000000000e+04,4.878304499780287684e-01,3.482765507169787167e-01,1.638929993050771139e-01,1.953948471889468186e+00,3.148362907488787776e+00,4.724051044186979631e+00,3.925497603522413170e-01,6.160517612559156531e-01,1.179569054792566352e+00
1.915500000000000000e+04,3.191942775713820235e-01,5.758821204171867825e-01,1.049236020111853768e-01,4.413503841616154943e+00,2.154423631131153538e+00,7.300976245860556268e+00,1.121646445244811385e+00,6.252760217802784126e-01,1.961427437006993513e+00
5.944000000000000000e+03,4.741474306616768608e-01,1.907861299888018725e-01,3.350664393494971471e-01,6.994192613338737097e+00,2.570078715069735065e+00,5.220629810045468666e+00,7.517407246236265106e-01,9.806335379902527682e-01,8.476953547256285137e-01
1.313500000000000000e+04,4.697553269779699558e-01,2.373726588676175753e-01,2.928720141543681432e-01,5.529844370741019866e+00,7.912828929110722775e+00,2.562631347839618545e+00,1.060300030589586440e+00,1.411930513276049792e+00,1.025261939098058628e+00
5.751000000000000000e+03,5.415330418715755822e-01,1.534443352872353339e-01,3.050226228412168950e-01,7.215249645662182409e+00,3.548592763541130957e+00,6.122287226600848342e+00,6.392317002735504738e-01,9.875471094193561949e-01,7.517369170740576534e-01
5.103000000000000000e+03,2.221894903910713870e-01,3.739483401138798402e-01,4.038621694951677887e-01,3.781256786242884971e+00,1.611399440026112906e+00,2.740992679086243555e+00,5.196746173274944258e-01,4.266528737525742132e-01,4.259139544084030726e-01
1.371000000000000000e+03,4.794255153707187578e-01,2.848892703548541183e-01,2.356852142743633138e-01,9.938169277999307383e+00,1.737762305262709583e+00,8.151221553863781111e+00,7.916955254161748279e-01,7.334627051288629129e-01,1.589164756860020011e+00
2.006400000000000000e+04,3.926666857435345825e-01,3.474835518842880888e-01,2.598497623717496707e-01,9.304329662751753105e+00,1.868393789489213530e+00,6.982336235072926556e+00,1.045873479668141925e+00,6.473220930018964703e-01,1.900281792658404356e+00
1.286000000000000000e+04,5.135387399633817296e-01,2.566625726609672586e-01,2.297986873756021342e-01,5.607039094476113483e+00,3.902510629537365716e+00,7.698683974550728948e+00,8.661789309287434291e-01,1.104802141517840841e+00,1.241838808932116400e+00
3.901000000000000000e+03,4.675019094564896727e-01,1.433158347790366716e-01,3.891822557645334135e-01,3.399924582551727692e+00,4.260132408364091461e+00,2.662099964270445707e+00,3.698667733855809936e-01,7.355574787350542820e-01,3.768562446336206073e-01
1.620600000000000000e+04,3.916800871590051525e-01,2.058599777222159810e-01,4.024599351186032847e-01,6.674011927656225751e+00,1.675725987850797516e+00,8.415527634131583667e+00,1.562430384926324578e+00,7.226617532966159718e-01,1.083664809409580210e+00
7.620000000000000000e+02,4.101789517454669243e-01,3.201983767031985617e-01,2.696226715512010652e-01,5.314012763947575380e+00,2.139831411035637565e+00,7.718041196007090043e+00,1.097728384351056796e+00,7.387373250325336427e-01,1.175508401485564569e+00
2.054500000000000000e+04,3.557576431888754276e-01,4.969670240842391506e-01,1.472753327267105894e-01,4.514340328637939770e+00,5.686072363250021411e+00,2.686104208176150809e+00,5.985440426871391217e-01,5.270399607814596488e-01,8.578382723437962820e-01
1.002800000000000000e+04,4.229488693829828727e-01,2.159337902535233555e-01,3.611173403635638546e-01,6.211062724945551672e+00,5.370953867534656645e+00,6.931157664781472327e+00,3.883375858648061563e-01,5.753773998103778320e-01,4.523977441390091281e-01
1.977500000000000000e+04,2.574687672556993379e-01,6.700383274753745066e-01,7.249290526881335683e-02,9.131354603509103995e+00,2.282037912665603852e+00,4.555888178619386331e+00,8.650663016829494012e-01,4.335306523867397677e-01,1.378173602490050609e+00
2.004800000000000000e+04,2.403686622770274395e-01,4.801291595361713571e-01,2.795021781867924604e-01,7.711865766751770046e+00,9.359423051394422544e+00,1.685014373220538708e+00,1.418807268365619434e+00,7.090173500630008174e-01,6.958233880911174341e-01
1.564800000000000000e+04,4.531510480228559956e-01,3.200882445832406997e-01,2.267607073939019724e-01,4.901283573045049025e+00,2.425512672354877886e+00,7.039728820444489443e+00,9.513475791506287305e-01,8.971529426566872134e-01,1.343178527913210463e+00
1.611600000000000000e+04,3.424419948286081539e-01,2.928618388195005640e-01,3.646961663518408781e-01,4.287862903263475189e+00,2.070459426056118879e+00,3.229339900855688672e+00,6.547814188749029318e-01,5.274781266698675974e-01,5.197593854014768144e-01
5.916000000000000000e+03,4.390652392549594940e-01,2.959174374377210870e-01,2.650173233073130907e-01,9.499559409459051196e+00,1.888287601734378596e+00,7.956320285726597774e+00,7.090066071829436156e-01,7.069623519862764383e-01,1.307199776742014707e+00
1.536500000000000000e+04,1.894760159584051584e-01,1.838789830394109148e-01,6.266450010021467065e-01,4.891193487383011629e+00,2.536702670731408205e+00,6.789885392519233065e+00,7.772820401120519307e-01,8.262339570952184076e-01,5.469011586053186269e-01
6.406000000000000000e+03,2.316483538992231694e-01,5.944805027184706381e-01,1.738711433821357732e-01,5.035021716701777450e+00,6.947902220885744384e+00,2.450959570814863486e+00,8.672852467853383596e-01,6.876609346098965236e-01,9.143504494434862018e-01
