# sn id, amp_1, mean_1, std_1
1.837500000000000000e+04,1.000000000000000000e+00,5.760985386823488597e+00,2.541072889367838261e+00
1.861200000000000000e+04,1.000000000000000000e+00,6.267119183305159602e+00,1.750292985126539635e+00
1.880400000000000000e+04,1.000000000000000000e+00,4.509196221007404581e+00,1.192871917525293979e+00
2.004800000000000000e+04,1.000000000000000000e+00,6.542254778851550157e+00,3.316755155827589618e+00
1.437700000000000000e+04,1.000000000000000000e+00,5.831937784722793339e+00,8.876821123228405552e-01
1.513600000000000000e+04,1.000000000000000000e+00,4.896324084561188172e+00,7.539552157262986443e-01
1.720600000000000000e+04,1.000000000000000000e+00,4.476448788445460458e+00,3.023437236337830125e+00
1.718600000000000000e+04,1.000000000000000000e+00,1.684239479203767154e+00,7.991623602590894881e-01
6.558000000000000000e+03,1.000000000000000000e+00,6.076041463121089059e+00,2.324286737716479312e+00
1.860400000000000000e+04,1.000000000000000000e+00,6.084748329951610302e+00,2.628093988451397855e+00
1.996800000000000000e+04,1.000000000000000000e+00,7.962534630088113907e+00,9.895500350340046269e-01
1.373600000000000000e+04,1.000000000000000000e+00,3.327919214279612348e+00,1.183177731366533481e+00
3.317000000000000000e+03,1.000000000000000000e+00,4.289427573893282108e+00,1.597122674006181020e+00
1.996900000000000000e+04,1.000000000000000000e+00,4.074571154480220336e+00,5.700720244520239843e-01
1.616300000000000000e+04,1.000000000000000000e+00,6.461582250815881778e+00,1.319406279179792252e+00
7.147000000000000000e+03,1.000000000000000000e+00,7.565621068834422758e+00,3.551751167553260036e+00
5.103000000000000000e+03,1.000000000000000000e+00,3.218464456208191660e+00,1.037332471519567978e+00
1.716800000000000000e+04,1.000000000000000000e+00,2.383357712547220952e+00,1.016222847135149099e+00
1.860200000000000000e+04,1.000000000000000000e+00,4.378735182412736293e+00,1.327382488365576707e+00
1.564800000000000000e+04,1.000000000000000000e+00,6.842532924304851605e+00,3.310990851721562045e+00
3.674000000000000000e+03,1.000000000000000000e+00,6.673890347263927048e+00,3.029669200726049727e+00
1.865000000000000000e+04,1.000000000000000000e+00,2.166678700757651121e+00,9.373406750176166424e-01
1.536500000000000000e+04,1.000000000000000000e+00,5.389586151108998635e+00,2.985464101417626193e+00
1.512900000000000000e+04,1.000000000000000000e+00,2.432408911787759642e+00,1.537895812945604623e+00
1.080500000000000000e+04,1.000000000000000000e+00,5.953304086210596147e+00,7.545573905308120555e-01
2.057500000000000000e+04,1.000000000000000000e+00,6.463007180505428551e+00,3.216439551155346521e+00
1.721800000000000000e+04,1.000000000000000000e+00,4.243677554990780365e+00,1.796590694627623108e+00
1.602100000000000000e+04,1.000000000000000000e+00,4.076697808208164631e+00,9.221991434786480646e-01
2.054500000000000000e+04,1.000000000000000000e+00,3.599898622401441983e+00,1.786666527206463240e+00
1.606900000000000000e+04,1.000000000000000000e+00,5.637441878827091912e+00,8.617480956415169979e-01
1.295000000000000000e+04,1.000000000000000000e+00,2.055614031360365690e+00,5.357077574256232655e-01
2.103400000000000000e+04,1.000000000000000000e+00,5.774794629222322229e+00,6.267754233889121229e-01
2.150200000000000000e+04,1.000000000000000000e+00,9.840378488196719786e+00,2.457406017894869343e+00
4.019000000000000000e+03,1.000000000000000000e+00,4.594605619305935917e+00,1.438495733434865365e+00
8.213000000000000000e+03,1.000000000000000000e+00,6.294836724947710849e+00,3.019926473537506872e+00
6.936000000000000000e+03,1.000000000000000000e+00,4.887632252907829766e+00,1.305857940929420424e+00
1.442100000000000000e+04,1.000000000000000000e+00,6.721285037641274940e+00,3.539902562331864733e+00
2.148700000000000000e+04,1.000000000000000000e+00,5.734903495818665320e+00,1.282137205846836547e+00
1.607300000000000000e+04,1.000000000000000000e+00,4.686874672097420813e+00,1.124847245148047570e+00
1.869700000000000000e+04,1.000000000000000000e+00,5.345015056359687655e+00,1.448788243378429597e+00
