#SNID	objid	ra	dec	PetroRad_r	u	g	r	i	z	err_u	err_g	err_r	err_i	err_z	redshift
#		degree	degree	arcsec	mag	mag	mag	mag	mag	mag	mag	mag	mag	mag	
12843	1237657189815681386	323.878484626	-0.979633752443	3.380853	20.1494	18.29919	17.19102	16.7773	16.42984	0.08538748	0.01022651	0.006639799	0.006632558	0.0154364	0.1669515
12856	1237663544220975551	332.865364736	0.755585755036	5.553512	20.49372	19.08951	18.47806	18.0794	18.10998	0.112689	0.0179578	0.01656681	0.01905385	0.06334163	0.1716726
12860	1237678617938821532	323.694965369	1.17540944639	4.472718	20.80294	19.14211	18.31986	17.86434	17.40596	0.140136	0.01503123	0.01108961	0.01107493	0.02520769	0.1217078
12898	1237666407917289559	26.793051012	-0.146864685	2.876802	20.1821	19.10832	18.4894	18.02161	17.81866	0.07063252	0.01238533	0.01090268	0.01027445	0.02990918
12930	1237663542600205560	309.68267041	-0.476394252442	6.406151	19.33475	18.08535	17.33543	16.97013	16.62606	0.05755026	0.00965534	0.008361453	0.009246331	0.02450211	0.147168
12950	1237656906351444110	351.667270497	-0.840619665013	4.150678	18.99278	18.03596	17.70643	17.40242	17.30359	0.03250468	0.007656487	0.00804905	0.009191794	0.02734613	0.08265698
12972	1237663783664025918	7.95858066333	-0.383050555835	0.8099409	23.44585	22.44335	21.86496	21.84101	21.12968	0.401449	0.09149688	0.07413301	0.103002	0.2162327
13044	1237663479795287086	332.543025828	0.503936834758	5.391763	20.5278	19.21122	18.66871	18.44988	18.26259	0.1841447	0.0295506	0.02677504	0.03504683	0.107527	0.1258902
13070	1237663783122698517	357.784882457	-0.74656402913	3.282766	20.82862	19.58211	18.93661	18.6518	18.42055	0.1155667	0.0224204	0.02314145	0.027441	0.05416848	0.1985333
13305	1237663544220189296	331.100141267	0.690809629098	2.8681	20.955	20.02075	19.43531	19.13384	18.99397	0.104935	0.02382115	0.02216837	0.02648087	0.07734242	0.2146839
13354	1237657069548601421	27.564739615	-0.886700963241	3.104314	20.04924	19.04398	18.42653	17.9653	17.7821	0.07369214	0.01592621	0.01362802	0.01312622	0.03851281	0.1576255
13411	1237663457775584948	315.189730158,	0.191724708	1.29303	24.82955	22.53495	22.0648	21.86466	21.6408	1.011283	0.1198665	0.1180283	0.1417637	0.4950489
13425	1237663479261037488	338.541427824	0.0548776189578	2.698474	22.87673	21.94402	20.56654	19.96416	19.82752	0.5556491	0.1132389	0.05014492	0.04305317	0.1645288	0.2126624
13506	1237663783134691657	25.2436577518	-0.728450206327	1.512939	21.92734	20.89706	20.12334	19.69242	19.43479	0.1871958	0.03760181	0.02638209	0.02684512	0.07290784
13511	1237663783141441728	40.6112959494	-0.794229643054	4.189126	21.27534	19.37675	18.08902	17.54278	17.1691	0.1838429	0.01878438	0.00962171	0.008799418	0.01984864	0.2372839
13578	1237663204921770853	17.3949402399	0.704421064449	2.726525	22.58906	22.41934	21.48266	21.52456	23.87997	0.5622705	0.2238553	0.1562843	0.2604048	1.035069
13641	1237656906348626641	345.217532752	-0.982017167448	1.582126	23.25079	23.19208	21.99278	21.93203	22.95232	0.6266543	0.2772287	0.1354893	0.2014007	0.982727
13736	1237678617407717964	336.832664208	1.03070919535	3.091004	22.15837	20.78008	20.12383	19.77771	19.5017	0.33219	0.05075973	0.04100156	0.0434825	0.1182988	0.1502249
13796	1237663277923696964	350.691969486	0.532310737916	3.786413	20.97786	19.44396	18.73966	18.35888	18.09249	0.1487128	0.02394817	0.0175097	0.01875383	0.0614935	0.1487143
13835	1237663783663173820	6.05936057287	-0.249264858757	2.362503	21.02521	19.8972	19.11059	18.75953	18.53964	0.1047641	0.02115614	0.01631976	0.0174176	0.05195888	0.2475327
13894	1237657190905938467	1.69061106369	-0.0367694128763	4.071753	22.44878	21.61566	20.83446	20.39929	19.98907	0.3099657	0.06650063	0.0508619	0.05089806	0.1334747
13934	1237666407360824125	342.110451803	-0.435146572211	2.796969	22.40778	21.4748	20.14827	19.65055	19.38277	0.4919752	0.08072364	0.0396452	0.03645657	0.1020337	0.330954
13956	1237663204923343352	20.9414616326	0.816262974696	2.310718	25.20423	22.56363	20.93051	20.18396	19.80689	0.9986057	0.153702	0.05650088	0.04693808	0.1197893	0.491342
14019	1237656567576987170	316.642394072	-0.648632110122	3.383583	21.42063	20.47355	19.75408	19.65591	19.69707	0.3956934	0.0721272	0.05668065	0.07868482	0.3072679
14108	1237663237129896756	53.5947035925	-1.12302298216	1.427725	23.4573	23.28805	22.26128	22.08857	21.21852	0.622083	0.2810609	0.155158	0.2006017	0.3453501
14212	1237678595930063495	330.47066807	1.0444771765	2.221291	22.35332	21.09521	20.01686	19.54908	19.06856	0.3659399	0.05093682	0.02829853	0.02791855	0.06461626
14261	1237663543682073622	328.240401556	0.253680539622	1.012447	23.25294	22.27727	21.98644	21.62807	22.75964	0.4893208	0.08866981	0.1107067	0.1193252	0.7908602	0.858692
14331	1237657190908690822	7.88905047746	-0.135587839852	2.726164	22.16237	20.86697	20.42788	20.02896	19.8022	0.3436842	0.04933864	0.05186138	0.05420905	0.1650248	0.2211987
14397	1237678433791181425	6.9156010166	0.649316615647	2.609103	21.58327	20.8145	19.84802	19.58423	19.26284	0.1958584	0.04718374	0.02843835	0.03293592	0.09339499	0.3866015
14437	1237656567046865251	332.080943683	-1.19630544959	1.380421	23.71851	21.16519	20.19045	19.60637	19.30037	0.8508152	0.04865295	0.02794798	0.0248161	0.0750685	0.1492953
