@SN 2002fk
@reference Open SN catalog; 012MNRAS.425.1789S,2010ApJS..190..418G; 2009ApJ...700..331H,Sternberg Astronomical Institute Supernova Light Curve Catalogue
@time JD-2400000
@ra 50.523792
@ra_unit deg
@dec -15.400889
@dec_unit deg
@z 0.0090
@z_uncert 0.0001
@z_frame CMB
time band flux fluxerr zp zpsys
52572.81662 standard::u 4365.158 0.029937 25 vega
52572.81985 standard::b 6362.093 0.008712 25 vega
52572.82235 standard::v 15732.582 0.006884 25 vega
52572.82413 standard::r 20701.413 0.008712 25 vega
52574.37    standard::b 6344.538 0.005969 25 vega
52574.37    standard::r 20361.042 0.006884 25 vega
52574.37    standard::v 14628.507 0.005511 25 vega
52575.8377  standard::b 5095.655 0.006884 25 vega
52575.84017 standard::v 13464.803 0.005511 25 vega
52575.84197 standard::r 19002.030 0.006884 25 vega
52576.39    standard::b 5385.177 0.007341 25 vega
52576.39    standard::r 18130.092 0.005969 25 vega
52576.39    standard::v 12930.044 0.004595 25 vega
52579.40    standard::b 4504.017 0.006426 25 vega
52579.40    standard::r 15674.728 0.004595 25 vega
52579.40    standard::v 10995.121 0.007798 25 vega
52581.93838 standard::b 3715.352 0.007341 25 vega
52581.94084 standard::v 9611.695 0.011447 25 vega
52581.94262 standard::r 13576.881 0.006426 25 vega
52582.37    standard::b 3894.036 0.006426 25 vega
52582.37    standard::r 13001.696 0.004595 25 vega
52582.37    standard::v 9196.022 0.011902 25 vega
52582.38    standard::b 3701.690 0.004595 25 vega
52582.38    standard::r 12612.466 0.004595 25 vega
52582.38    standard::v 8961.898 0.004595 25 vega
52582.8185  standard::u 2797.693 0.034838 25 vega
52582.82167 standard::b 3476.962 0.013266 25 vega
52582.82413 standard::v 9179.098 0.007341 25 vega
52582.82589 standard::r 12977.768 0.006884 25 vega
52583.38    standard::b 3502.676 0.004595 25 vega
52583.38    standard::r 11868.614 0.004595 25 vega
52583.38    standard::v 8621.841 0.004595 25 vega
52588.43    standard::b 3107.420 0.009168 25 vega
52588.43    standard::r 9315.368 0.007798 25 vega
52588.43    standard::v 6911.941 0.011902 25 vega
52594.34    standard::b 2608.555 0.008712 25 vega
52594.34    standard::r 7719.692 0.007341 25 vega
52594.34    standard::v 5904.729 0.009624 25 vega
