# sn id,local age,sigma_a,global age,sigma_a,log(M/M_sun),PC_1
15136,4.2,1.5,4.9,0.6,10.9,-0.66
15234,5.3,1.5,5.8,0.7,10.4,0.25
15301,4.5,2.4,4.2,1.9,9.8,0.42
15365,6.4,1.8,4.9,3.3,10.8,-0.26
15421,2.8,1.5,4.5,1.0,10.1,1.06
15425,8.7,4.0,7.9,3.8,10.4,-0.73
15443,5.7,0.7,5.3,1.0,10.3,0.77
15459,1.6,0.6,1.7,0.7,10.3,2.22
15461,3.0,1.2,4.8,2.6,11.0,0.73
15648,4.6,2.1,8.3,4.0,11.0,-1.26
15866,7.2,3.5,8.2,4.0,10.0,-1.59
16021,2.5,1.2,4.1,0.9,10.6,0.89
16069,3.9,1.3,5.6,0.8,9.7,0.46
16073,6.0,1.4,4.9,1.1,9.5,0.68
16116,3.3,1.1,3.3,1.0,10.5,1.70
16163,8.5,1.1,6.6,1.1,9.6,-2.72
16185,6.2,1.1,7.1,1.6,10.7,-1.01
16206,7.2,3.3,7.9,3.9,9.6,-2.02
17168,3.8,1.1,2.2,1.1,7.5,1.25
17186,4.7,0.9,1.4,0.7,10.4,2.48
17206,5.7,3.1,2.7,3.3,10.1,-0.84
17218,4.7,0.7,4.5,1.9,9.6,0.01
17695,3.2,1.0,3.4,1.3,10.2,0.71
18375,4.7,2.4,6.4,2.9,9.3,0.23
18602,4.5,1.5,4.5,1.4,9.1,1.40
18604,8.1,3.5,6.6,3.0,10.8,-0.89
18612,5.5,2.7,7.0,1.6,8.9,-0.90
18650,1.7,0.7,2.0,0.9,10.3,2.64
18697,4.5,3.2,5.7,1.4,11.0,0.62
18749,6.0,1.7,7.9,3.9,10.2,-1.59
18804,2.7,1.2,4.7,1.2,10.6,1.37
18835,7.2,3.8,6.5,3.3,10.4,-0.34
19155,2.8,1.8,5.3,1.9,10.7,1.51
19353,4.0,2.7,6.1,1.1,10.7,0.62
19772,8.5,4.2,7.3,1.3,10.2,-2.18
19775,2.5,3.5,5.9,3.6,9.5,0.70
19953,3.0,1.2,2.3,0.9,10.4,2.12
19968,9.7,4.5,8.0,0.8,10.3,-2.35
19969,4.5,1.1,4.2,0.5,10.5,0.21
20048,8.4,4.0,8.0,4.0,10.9,-1.56
20064,7.3,4.0,8.9,1.1,9.0,-0.69
20084,2.4,2.2,5.1,2.6,9.3,1.71
20125,9.4,1.7,8.7,4.2,10.8,-2.08
20528,8.5,4.1,9.3,4.0,10.8,-1.49
20545,5.1,1.1,3.5,2.0,10.3,-1.07
20575,8.2,3.6,7.8,3.9,11.1,-1.76
20625,2.6,2.1,4.0,1.9,10.6,0.52
20764,9.6,1.2,6.0,1.6,10.8,-2.47
21034,3.4,1.2,5.9,0.7,10.5,0.36
21487,5.4,0.8,5.9,1.0,10.5,-0.98
21502,6.9,3.7,10.7,1.0,10.8,-0.94
22075,6.5,2.7,10.0,4.1,11.0,-1.74
